Kudos Date,Kudos Type,Parent ID
"Mar 27, 2020, 4:26:10 PM",Activity,3223746338
"Mar 27, 2020, 10:28:49 PM",Activity,3224233496
"Mar 27, 2020, 10:28:52 PM",Activity,3225324826
"Mar 28, 2020, 1:38:47 PM",Activity,3225462949
"Mar 28, 2020, 5:48:49 PM",Activity,3227951589
"Mar 28, 2020, 9:15:07 PM",Activity,3228554085
"Mar 29, 2020, 3:53:03 PM",Activity,3231849890
"Mar 30, 2020, 1:52:42 AM",Activity,3232989778
"Mar 31, 2020, 1:21:53 AM",Activity,3232392338
"Mar 31, 2020, 3:48:05 PM",Activity,3236411571
"Mar 31, 2020, 3:48:16 PM",Activity,3234558008
"Mar 31, 2020, 10:17:40 PM",Activity,3239608898
"Apr 4, 2020, 4:38:49 PM",Activity,3254598395
"Apr 4, 2020, 9:10:10 PM",Activity,3254750872
"Apr 5, 2020, 1:28:18 AM",Activity,3255524229
"Apr 5, 2020, 4:44:19 PM",Activity,3259082883
"Apr 5, 2020, 4:44:23 PM",Activity,3258620383
"Apr 5, 2020, 4:44:29 PM",Activity,3258532693
"Apr 5, 2020, 10:48:35 PM",Activity,3259956592
"Apr 6, 2020, 2:39:00 AM",Activity,3260367395
"Apr 7, 2020, 2:20:39 AM",Activity,3263846945
"Apr 7, 2020, 2:20:50 AM",Activity,3263068290
"Apr 7, 2020, 2:20:54 AM",Activity,3263830448
"Apr 9, 2020, 1:46:18 AM",Activity,3273272234
"Apr 9, 2020, 5:05:20 PM",Activity,3276036514
"Apr 11, 2020, 6:00:31 PM",Activity,3284626553
"Apr 11, 2020, 6:00:44 PM",Activity,3285059866
"Apr 11, 2020, 6:00:58 PM",Activity,3285136535
"Apr 11, 2020, 6:01:00 PM",Activity,3285203844
"Apr 11, 2020, 6:01:07 PM",Activity,3285370439
"Apr 11, 2020, 6:01:10 PM",Activity,3285059635
"Apr 14, 2020, 10:44:51 AM",Activity,3295614748
"Apr 14, 2020, 10:44:54 AM",Activity,3295934269
"Apr 14, 2020, 7:31:26 PM",Activity,3297500739
"Apr 16, 2020, 12:04:46 AM",Activity,3302094640
"Apr 16, 2020, 12:04:53 AM",Activity,3300030336
"Apr 18, 2020, 2:24:50 AM",Activity,3313509196
"Apr 18, 2020, 5:03:42 PM",Activity,3317265475
"Apr 18, 2020, 5:03:52 PM",Activity,3316089492
"Apr 18, 2020, 8:47:28 PM",Activity,3318025759
"Apr 19, 2020, 9:48:23 PM",Activity,3321995511
"Apr 20, 2020, 7:03:12 PM",Activity,3327262745
"Apr 20, 2020, 7:03:21 PM",Activity,3322536632
"Apr 21, 2020, 6:13:53 PM",Activity,3332111418
"Apr 23, 2020, 8:15:50 PM",Activity,3342057873
"Apr 23, 2020, 10:22:04 PM",Activity,3343130922
"Apr 24, 2020, 8:37:10 PM",Activity,3346745410
"Apr 26, 2020, 4:01:03 PM",Activity,3356887364
"Apr 27, 2020, 8:04:37 PM",Activity,3362498850
"Apr 28, 2020, 1:09:37 AM",Activity,3364023466
"Apr 28, 2020, 1:09:45 AM",Activity,3362274568
"Apr 28, 2020, 2:45:52 PM",Activity,3365950661
"Apr 29, 2020, 4:56:45 PM",Activity,3371422722
"Apr 30, 2020, 12:48:22 AM",Activity,3373120684
"Apr 30, 2020, 12:48:38 AM",Activity,3372811567
"Apr 30, 2020, 11:33:40 PM",Activity,3375711081
"Apr 30, 2020, 11:33:44 PM",Activity,3376272968
"May 2, 2020, 6:13:29 PM",Activity,3386277585
"May 2, 2020, 6:13:37 PM",Activity,3386489825
"May 2, 2020, 6:13:41 PM",Activity,3386161604
"May 2, 2020, 6:13:44 PM",Activity,3386692439
"May 2, 2020, 6:13:56 PM",Activity,3385577614
"May 2, 2020, 10:02:44 PM",Activity,3387234788
"May 4, 2020, 2:26:01 AM",Activity,3392581850
"May 4, 2020, 2:26:09 AM",Activity,3392956613
"May 5, 2020, 2:30:23 AM",Activity,3399631868
"May 5, 2020, 2:30:29 AM",Activity,3399016215
"May 5, 2020, 2:30:41 AM",Activity,3399183641
"May 5, 2020, 2:31:29 AM",Activity,3398540306
"May 5, 2020, 2:31:36 AM",Activity,3397347126
"May 5, 2020, 12:19:21 PM",Activity,3400992580
"May 5, 2020, 6:33:29 PM",Activity,3403042455
"May 7, 2020, 11:52:10 PM",Activity,3416003974
"May 7, 2020, 11:52:12 PM",Activity,3415878322
"May 8, 2020, 12:49:22 AM",Activity,3416237062
"May 8, 2020, 12:49:25 AM",Activity,3416237305
"May 8, 2020, 12:49:31 AM",Activity,3416191783
"May 8, 2020, 11:11:05 AM",Activity,3416305573
"May 8, 2020, 4:13:11 PM",Activity,3414759643
"May 9, 2020, 1:13:59 PM",Activity,3421556326
"May 9, 2020, 3:21:00 PM",Activity,3424756272
"May 9, 2020, 3:21:07 PM",Activity,3424733498
"May 9, 2020, 8:03:01 PM",Activity,3426185232
"May 9, 2020, 8:03:04 PM",Activity,3426227472
"May 10, 2020, 3:53:26 AM",Activity,3426749638
"May 10, 2020, 2:29:43 PM",Activity,3429704110
"May 10, 2020, 10:53:28 PM",Activity,3431013027
"May 11, 2020, 3:23:31 PM",Activity,3420953416
"May 11, 2020, 8:54:54 PM",Activity,3434967417
"May 11, 2020, 8:55:00 PM",Activity,3435295429
"May 11, 2020, 8:55:04 PM",Activity,3435447326
"May 12, 2020, 11:34:35 AM",Activity,3437061427
"May 12, 2020, 11:34:42 AM",Activity,3436662121
"May 12, 2020, 11:34:47 AM",Activity,3437008919
"May 12, 2020, 6:25:39 PM",Activity,3440314946
"May 12, 2020, 6:25:42 PM",Activity,3439707651
"May 12, 2020, 6:25:59 PM",Activity,3440636501
